icao,name,municipality,iso_country,type
K00A,Total RF Heliport,Bensalem,US,heliport
00AA,Aero B Ranch Airport,Leoti,US,small_airport
00AK,Lowell Field,Anchor Point,US,small_airport
00AL,Epps Airpark,Harvest,US,small_airport
00AN,Katmai Lodge Airport,King Salmon,US,small_airport
00AS,Fulton Airport,Alex,US,small_airport
00AZ,Cordes Airport,Cordes,US,small_airport
00CA,Goldstone (GTS) Airport,Barstow,US,small_airport
00CL,Williams Ag Airport,Biggs,US,small_airport
00CN,Kitchen Creek Helibase Heliport,Pine Valley,US,heliport
00FA,Grass Patch Airport,Bushnell,US,small_airport
00FL,River Oak Airport,Okeechobee,US,small_airport
00GA,Lt World Airport,Lithonia,US,small_airport
00GE,Caffrey Heliport,Hiram,US,heliport
00HI,Kaupulehu Heliport,Kailua-Kona,US,heliport
00ID,Delta Shores Airport,Clark Fork,US,small_airport
00IG,Goltl Airport,McDonald,US,small_airport
00IL,Hammer Airport,Polo,US,small_airport
00IN,St Mary Medical Center Heliport,Hobart,US,heliport
00IS,Hayenga's Cant Find Farms Airport,Kings,US,small_airport
00KS,Hayden Farm Airport,Gardner,US,small_airport
00KY,Robbins Roost Airport,Stanford,US,small_airport
00LA,Shell Chemical East Site Heliport,Gonzales,US,heliport
00LL,Ac & R Components Heliport,Chatham,US,heliport
00LS,Lejeune Airport,Crowley,US,small_airport
00MD,Slater Field,Federalsburg,US,small_airport
00MI,Dow Chemical Heliport,Ludington,US,heliport
00MN,Battle Lake Municipal Airport,Battle Lake,US,small_airport
00MO,Cooper Flying Service Airport,Alba,US,small_airport
00MT,Livingston Healthcare Heliport,Livingston,US,heliport
K00N,Bucks Airport,Bridgeton,US,small_airport
00NC,North Raleigh Airport,Louisburg,US,small_airport
00NJ,Colgate-Piscataway Heliport,New Brunswick,US,heliport
00NK,Cliche Cove Seaplane Base,Beekmantown,US,seaplane_base
00NR,Rodanthe Dare County Heliport,Rodanthe,US,heliport
00NY,Weiss Airfield,West Bloomfield,US,small_airport
00OI,Miami Valley Hospital Helistop,Dayton,US,heliport
00OK,Gull Bay Landing Airport,Sandsprings,US,small_airport
00OR,Steel Systems Heliport,Salem,US,heliport
00PA,R J D Heliport,Coatesville,US,heliport
00PN,Ferrell Field,Mercer,US,small_airport
K00S,McKenzie Bridge State Airport,Blue River,US,small_airport
00SC,Flying O Airport,Sumter,US,small_airport
00SD,Homan Field,Gary,US,small_airport
00TE,Tcjc-Northeast Campus Heliport,Fort Worth,US,heliport
00TS,Alpine Range Airport,Everman,US,small_airport
00TT,Nowhere Airport,Goodlett,US,small_airport
00VA,Vaughan Airport,Alton,US,small_airport
00VI,Groundhog Mountain Airport,Hillsville,US,small_airport
K00W,Lower Granite State Airport,Colfax,US,small_airport
00WA,Howell Airport,Longbranch,US,small_airport
00WI,Northern Lite Airport,Waupaca,US,small_airport
00WN,Hawks Run Airport,Asotin,US,small_airport
00WV,Lazy J. Aerodrome,Beverly,US,small_airport
00WY,Mountain View Regional Hospital Heliport,Casper,US,heliport
00XA,Weeski Ranch Airport,,US,small_airport
K01A,Purkeypile Airport,Purkeypile,US,small_airport
01AK,Providence Seward Medical Center Heliport,Seward,US,heliport
01AL,Ware Island Airport,Clanton,US,small_airport
01AN,McHone Heights Airport,Wasilla,US,small_airport
01AR,DeQueen Medical Center Heliport,DeQueen,US,heliport
01AZ,Yat Heliport,Camp Verde,US,heliport
01CA,SCE Lugo Substation Heliport,Hesperia,US,heliport
01CL,Swansboro Country Airport,Placerville,US,small_airport
01CO,St Vincent General Hospital Heliport,Leadville,US,heliport
01CT,Berlin Fairgrounds Heliport,Berlin,US,heliport
01FA,Rybolt Ranch Airport,Orlando,US,small_airport
01FD,Advent Health Altamonte Springs Heliport,Altamonte Springs,US,heliport
01FL,Cedar Knoll Flying Ranch Airport,Geneva,US,small_airport
01GA,Medical Center Heliport,Columbus,US,heliport
01GE,The Farm Airport,Wrightsville,US,small_airport
01ID,Lava Hot Springs Airport,Lava Hot Springs,US,small_airport
01II,Myers Field,Lizton,US,small_airport
01IL,Hoopeston Community Memorial Hospital Heliport,Hoopeston,US,heliport
01IN,Community Hospital Heliport,Anderson,US,heliport
01IS,William E. Koenig Airport,Dow,US,small_airport
K01J,Hilliard Airpark,Hilliard,US,small_airport
K01K,Caldwell Municipal Airport,Caldwell,US,small_airport
01KS,Flying N Ranch Airport,Lost Springs,US,small_airport
01KY,Lourdes Hospital Heliport,Paducah,US,heliport
01LA,Barham Airport,Oak Ridge,US,small_airport
01LL,Schumaier Restricted Landing Area,Pinckneyville,US,small_airport
01LS,Country Breeze Airport,Slaughter,US,small_airport
01MA,Compaq Andover Heliport,Andover,US,heliport
01MD,Annapolis Seaplane Base,Annapolis,US,seaplane_base
01ME,Saint Peter's Seaplane Base,Portage Lake,US,seaplane_base
01MI,Flow Through Terminal Heliport,Flint,US,heliport
01MN,Barnes Seaplane Base,Cook,US,seaplane_base
01MO,Highway Patrol Troop C Headquarters Heliport,Town and Country,US,heliport
01MT,Crystal Lakes Resort Airport,Fortine,US,small_airport
01MU,NWMC - Houghton Heliport,Tucson,US,heliport
01NC,Topsail Airpark,Holly Ridge,US,small_airport
01NH,Moore Airfield,Canaan,US,small_airport
01NJ,Albert Guido Memorial Heliport,Newark,US,heliport
01NM,Champion Ranch Airport,Lake Arthur,US,small_airport
01NR,McGee 01 Heliport,Wilmington,US,heliport
01NV,Lantana Ranch Airport,Yerington,US,small_airport
01NY,Vassar Hospital Heliport,Poughkeepsie,US,heliport
01OH,Atrium Medical Center Heliport,Middletown,US,heliport
01OI,Avita Health System Galion Hospital Heliport,Galion,US,heliport
01OL,Spring Creek Ranch East Airport,Tishomingo,US,small_airport
01PN,Bierly(Personal Use) Airport,Bellefonte,US,small_airport
01PS,Nort's Resort Airport,Meshoppen,US,small_airport
01SC,York Airport,York,US,small_airport
01TE,Smith Field,Forney,US,small_airport
01TN,Colonial Air Park,Collierville,US,small_airport
01TT,Clute Fire & EMS Station #1 Heliport,Clute,US,heliport
K01U,Duckwater Airport,Duckwater,US,small_airport
01UT,La Sal Junction Airport,La Sal,US,small_airport
01VA,Pickles Airport,Berryville,US,small_airport
01WA,Willapa Harbor Heliport,South Bend,US,heliport
01WN,Whidbey General Hospital Heliport,Coupeville,US,heliport
01WT,Odyssey Heliport,Renton,US,heliport
01WY,Keyhole Airport,Pine Haven,US,small_airport
01XA,Ascension Seton Hays Heliport,Kyle,US,heliport
01XS,Meadowood Ranch Heliport,Athens,US,heliport
02AA,Barefoot Airport,Big Lake,US,small_airport
02AK,Rustic Wilderness Airport,Willow,US,small_airport
02AL,Bass Field,Foley,US,small_airport
02AN,Emerald Ridge Airport,Homer,US,small_airport
02CA,Swepi Beta Platform Ellen Heliport,Huntington Beach,US,heliport
02CD,Shannon Field,Clarksdale,US,small_airport
02CL,Conover Air Lodge Airport,Frazier Park,US,small_airport
02CO,Mc Cullough Airport,Monte Vista,US,small_airport
02CT,Strangers Point Heliport,Ellington,US,heliport
02FA,Osborn Airfield,Groveland,US,small_airport
02FD,Triple R Ranch Airport,Baker,US,small_airport
02GA,Doug Bolton Field,Commerce,US,small_airport
02GE,Etowah Fields Airport,Euharlee,US,small_airport
02HI,K3 Helipad Heliport,Honolulu,US,heliport
02IA,Boone County Hospital Heliport,Boone,US,heliport
02ID,Morgan Ranch Airport,Cascade,US,small_airport
02II,King Ultralightport,Westfield,US,small_airport
02IN,Diamond P. Field,Muncie,US,small_airport
02IS,Condell Medical Center Heliport,Libertyville,US,heliport
02KS,JMJ Landing Airport,Saint Marys,US,small_airport
02KT,St Claire Healthcare Heliport,Morehead,US,heliport
02KY,Boone National Guard Heliport,Frankfort,US,heliport
02LA,Louisiana State Police Troop G Heliport,Bossier City,US,heliport
02LS,Windy Hill Heliport,Broussard,US,heliport
02MA,Cuttyhunk Heliport,Cuttyhunk,US,heliport
02MD,Garner Field,Brandywine,US,small_airport
02ME,Nadeau's Airfield,Acton,US,small_airport
02MI,Fairplains Airpark,Greenville,US,small_airport
02MO,Troy Airpark,Troy,US,small_airport
02MS,Watts Field,Rochdale,US,small_airport
02NE,Benes Service Airport,Valparaiso,US,small_airport
02NH,Iroquois Landing Seaplane Base,Dummer,US,seaplane_base
02NM,FFR Animas Landing Strip,Animas,US,small_airport
02NR,McGee 02 Heliport,Greenville,US,heliport
02NV,Paiute Meadows Airport,Winnemucca,US,small_airport
02NY,Hansen Heliport,Durhamville,US,heliport
02OH,Zimmerman Airport,Fremont,US,small_airport
02OI,Murtha Airport,Conneaut,US,small_airport
02OL,War Veterans Colony Heliport,Wilburton,US,heliport
02OR,Rowena Dell Airport,The Dalles,US,small_airport
26PA,Stottle Memorial Heliport,Honey Grove,US,heliport
02PA,Lag III Heliport,Monroeville,US,heliport
02PN,Peco Berwyn Heliport,Berwyn,US,heliport
02PR,Cuylers Airport,Vega Baja,PR,small_airport
02RI,Miramar Residence Heliport,Newport,US,heliport
02SC,Harpers Airport,Estill,US,small_airport
02TA,Matagorda Shore Facility Heliport,Matagorda,US,heliport
02TE,Baylor Medical Center Heliport,Waxahachie,US,heliport
02TN,Ellis Field,Rockvale,US,small_airport
02UT,Lucin Airport,Lucin,US,small_airport
02VA,The Greenhouse Airport,Culpeper,US,small_airport
02VG,Northstar Aviation Heliport,Bristol,US,heliport
02WA,Cawleys South Prairie Airport,South Prairie,US,small_airport
02WI,Beer Airport,Hudson,US,small_airport
02WN,Fowler Field,Tonasket,US,small_airport
02XA,JLS Farms Airport,Honey Grove,US,small_airport
03AA,Trapper T Heliport,Palmer,US,heliport
03AK,Joe Clouds Seaplane Base,Kenai,US,seaplane_base
03AL,Highland Medical Center Heliport,Scottsboro,US,heliport
03AR,Hscmh Heliport,Malvern,US,heliport
03AZ,Thompson International Aviation Airport,Hereford,US,small_airport
03CA,Grossmont Hospital Heliport,La Mesa,US,heliport
03FA,Lake Persimmon Airstrip,Lake Placid,US,small_airport
03GA,HIA Airport,Statesboro,US,small_airport
03GE,NGMC Lumpkin Hospital Heliport,Dahlonega,US,heliport
03ID,Flying Y Ranch Airport,Council,US,small_airport
03II,Davis Field Ultralightport,Mount Vernon,US,small_airport
03IL,Wix Airport,Monee,US,small_airport
03IN,Heinzman Airport,Arcadia,US,small_airport
03IS,OSF St Anthony's Health Center Heliport,Alton,US,heliport
03KS,Valley Grain Heliport,Highland,US,heliport
03KY,Flying H Farms Airport,Henderson,US,small_airport
03LA,Damien Heliport,Carville,US,heliport
03LS,Fmc Nr 1 Heliport,Winnsboro,US,heliport
03MA,Hadley Airport,Hadley,US,small_airport
03MD,Upper Chesapeake Medical Center Heliport,Bel Air,US,heliport
03ME,Maple Ridge Airport,Harrison,US,small_airport
03MI,Harold Miller Heliport,Bay City,US,heliport
03MN,Nauerth Land Ranch Airport,Lakefield,US,small_airport
03MS,Vicksburg Medical Center Heliport,Vicksburg,US,heliport
3MT7,Cascade Field,Cascade,US,small_airport
03MU,McDonnell Airport,Archie,US,small_airport
03NC,Pilots Ridge Airport,Carolina Beach,US,small_airport
03ND,Olafson Brothers Airport,Edinburg,US,small_airport
03NE,Hyde Ranch Airport,Comstock,US,small_airport
03NH,Lorden Heliport,Milford,US,heliport
03NM,Miner's Colfax Medical Center Heliport,Raton,US,heliport
03NR,Johnston Medical Center Heliport,Clayton,US,heliport
03NV,Llama Ranch Airport,Ruby Valley,US,small_airport
03NY,Talmage Field,Riverhead,US,small_airport
03OH,Gibbs Field,Fremont,US,small_airport
03OI,"Cleveland Clinic, Marymount Hospital Heliport",Garfield Heights,US,heliport
03OK,Sahoma Lake Airport,Sapulpa,US,small_airport
03OL,Bluebird Airport,Alex,US,small_airport
03OR,Powwatka Ridge Airport,Troy,US,small_airport
03PA,Collegeville Heliport,Collegeville,US,heliport
03PN,M.P. Metals Heliport,Berwick,US,heliport
03PR,Sun View Field Airport,Bonner Springs,US,small_airport
K03S,Sandy River Airport,Sandy,US,small_airport
03SC,Seacoast Medical Center Heliport,Little River,US,heliport
03TE,Barronena Ranch Airport,Hebbronville,US,small_airport
03TN,Eagles Landing Heliport,Sevierville,US,heliport
03TS,Shannon Medical Center Heliport,San Angelo,US,heliport
03TT,Brazos Polo Airport,Orchard,US,small_airport
03TX,M D K Field Heliport,Pearland,US,heliport
03UT,AZ Minerals Corporation Airport,Mexican Hat,US,small_airport
03WA,Spangle Field,Spangle,US,small_airport
03WN,Aerostone Ranch Airport,Goldendale,US,small_airport
03WT,Lopez Medical Clinic Heliport,Lopez Island,US,heliport
03WY,Perala Field,Sundance,US,small_airport
03XA,Del Sol Medical Center Heliport,El Paso,US,heliport
03XS,Creekside Airport,Mertzon,US,small_airport
04AA,Flying W Ranch Airport,Soldotna,US,small_airport
04AL,Anniston AHP (Anniston Army Depot),Anniston,US,heliport
04AN,North 40 Airport,Sutton,US,small_airport
04AR,Saline Memorial Hospital Heliport,Benton,US,heliport
04CA,Gray Butte Field,Palmdale,US,small_airport
04CL,Hunt's Sky Ranch Airport,Julian,US,small_airport
04CT,Shingle Mill Heliport,Harwinton,US,heliport
04FA,Richards Field,Homestead,US,small_airport
04FD,Tampa General Hospital Brandon Healthplex Heliport,Brandon,US,heliport
04FL,Cross Creek Farms Airport,Ormond Beach,US,small_airport
04GA,Verge Towers Heliport,Monroe,US,heliport
K04I,Columbus Southwest Airport,Columbus,US,small_airport
04IA,Middlekoop Airport,Packwood,US,small_airport
04ID,Lanham Field,Emmett,US,small_airport
04IL,Schertz Aerial Service - Hudson Airport,Hudson,US,small_airport
04IN,Lake Gage Seaplane Base,Angola,US,seaplane_base
04IS,Van Gorder Airport,Mansfield,US,small_airport
04KY,Natchez Trace Farm Airport,Hiseville,US,small_airport
04LA,Saint James Parish Hospital Heliport,Lutcher,US,heliport
04LS,La National Guard Heliport,Baton Rouge,US,heliport
04MA,Goddard Field,Haverhill,US,small_airport
04MD,Chesapeake City Heliport,Chesapeake City,US,heliport
04ME,Beech Hill Airport,Mercer,US,small_airport
04MI,Rapids Airway Airport,Eaton Rapids,US,small_airport
04MN,Helblad Airport,Kelliher,US,small_airport
04MS,Nick's Flying Service Inc Airport,Rolling Fork,US,small_airport
04MT,Pluhar Airport,Cohagen,US,small_airport
04NC,Western Wake Medical Center Heliport,Cary,US,heliport
04NE,Mc Connell Field Airport,Sarben,US,small_airport
04NJ,Emmanuel Airport,Elmer,US,small_airport
04NR,McGee 04 Heliport,Jacksonville,US,heliport
04NV,Kingston Ranch Airport,Sandy Valley,US,small_airport
04NY,Klaverack Airport,Hudson,US,small_airport
04OG,Teufel Heliport,Forest Grove,US,heliport
04OK,Stillwater Medical Center Heliport,Stillwater,US,heliport
04OR,Collins Landing Strip,Mitchell,US,small_airport
04PA,S & C Distribution Center Heliport,Philadelphia,US,heliport
04PN,Strawbridge & Clothier Exton Heliport,Exton,US,heliport
04SC,Emergency Helipad,Easley,US,heliport
04SD,Cheyenne River Health Center Heliport,Eagle Butte,US,heliport
04TE,Veterans Affairs Medical Center Heliport,Houston,US,heliport
04TN,Hensley Airpark,Chuckey,US,small_airport
04TS,Hummingbird Heliport,Round Rock,US,heliport
04TT,4D Ranch Airport,Utopia,US,small_airport
04TX,Pocock Airport,China Spring,US,small_airport
04UT,Navajo Mountain Airport,Navajo Mountain,US,small_airport
K04V,Saguache Municipal Airport,Saguache,US,small_airport
04VA,Russell County Medical Center Heliport,Lebanon,US,heliport
04VG,Manquin Flight Park Ultralightport,Manquin,US,small_airport
04VT,Lightning Bolt Field Airport,Cabot,US,small_airport
K04W,Field of Dreams Airport,Hinckley,US,small_airport
04WA,Ox Meadows Airport,Spokane,US,small_airport
04WI,Dutch Gap Airstrip,Bristol,US,small_airport
04WN,Stillwater Creek Airport,Royal City,US,small_airport
04WV,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,Morgantown,US,heliport
04XA,Pecan Field,Jermyn,US,small_airport
05AK,Wasilla Creek Airpark,Palmer,US,small_airport
05AL,Allen Stagefield Army Heliport,Fort Rucker (Wicksburg),US,heliport
05AN,Wetons Aerodrome,Fox,US,small_airport
05AR,Ozark Skies Airpark,Kingston,US,small_airport
05AZ,Yuma Regional Medical Center Heliport,Yuma,US,heliport
05CA,Lost Hills Sheriff's Station Heliport,Calabasas,US,heliport
05CL,Pope Valley Airport,Pope Valley,US,small_airport
05CO,Rancho de Aereo Airport,Mead,US,small_airport
05CT,O And G Heliport,Torrington,US,heliport
05FA,Melanie's Airport,Florala,US,small_airport
05FD,Aventura Heliport,North Miami Beach,US,heliport
05FL,Charlton Strip,La Belle,US,small_airport
05GA,Raju Airport,Richland,US,small_airport
05IA,Spotts Field,Nora Springs,US,small_airport
05ID,Running Creek Ranch Airport,Elk City,US,small_airport
05IL,Classic Landings Airport,Bonfield,US,small_airport
05IN,Cooper Airport,Belleville,US,small_airport
05IS,Hardy Airport,Mount Auburn,US,small_airport
05KS,Darbro Field,Elk City,US,small_airport
05KT,High Point Farm Airport,Frankfort,US,small_airport
05KY,Cartersville Airport,Paint Lick,US,small_airport
05LA,Greg's Flying Service Airport,Winnsboro,US,small_airport
05LL,Midwest Heliport,Willowbrook,US,heliport
05LS,Grass Roots Airport,Alexandria,US,small_airport
05MA,Bentley Heliport,Ipswich,US,heliport
05MD,Breezecroft Airport,Chestertown,US,small_airport
05ME,Drisko Airport,Jonesboro,US,small_airport
05MI,Beaumont Hospital Taylor Heliport,Taylor,US,heliport
05MN,Northern Pines Medical Center Heliport,Aurora,US,heliport
05MS,VA Medical Center Jackson Heliport,Jackson,US,heliport
05MT,Jones Landing Airport,Belgrade,US,small_airport
05NE,Mc Kay Airport,Spalding,US,small_airport
05NH,Stumpfield Heliport,Kensington,US,heliport
05NJ,Paulus Hook Pier Heliport,Jersey City,US,heliport
05NR,Gary Fox Airport,Mebane,US,small_airport
05NV,Baker Ranches Airport,Baker,US,small_airport
05NY,Oswego County At Pulaski Heliport,Pulaski,US,heliport
05OG,Drill Field Pad Heliport,Eugene,US,heliport
05OH,Eaglecrest Field,Conesville,US,small_airport
05OI,Dorlon Airpark,Columbia Station,US,small_airport
05OR,Peacock Ranch Airport,Enterprise,US,small_airport
05PA,PECO Mob. Heliport,Philadelphia,US,heliport
05PN,State Police Area Iii Heliport,Harrisburg,US,heliport
05PS,Mills Brothers Airport,Neelyton,US,small_airport
05TA,Brandes Air Field,Sealy,US,small_airport
05TE,Hilde-Griff Field,Georgetown,US,small_airport
05TS,Dew Drop Airport,Justin,US,small_airport
05TX,Circle A Ranch Airport,Blum,US,small_airport
K05V,Blanca Airport,Blanca,US,small_airport
05VA,Providence Airport,Farmville,US,small_airport
05VT,Port of Highgate Springs Heliport,Highgate Springs,US,heliport
05WA,Sacred Heart Medical Center Helistop,Spokane,US,heliport
05WI,Ames Private Airport,Darien,US,small_airport
05WN,Flat Creek Field,Kettle Falls,US,small_airport
05XA,Moore County Hospital District Heliport,Dumas,US,heliport
05XS,Johnson Memorial Airport,Wilmot,US,small_airport
06AA,Twisted Sisters Airport,Sterling,US,small_airport
06AK,June Lake Airpark,Wasilla,US,small_airport
06AL,Brown Stagefield Army Heliport,Fort Rucker/New Brockton,US,heliport
06AR,Bondair Airport,Higden,US,small_airport
06AZ,Mercy Gilbert Medical Center Heliport,Gilbert,US,heliport
06CA,SCE Solar I Heliport,Daggett,US,heliport
06CL,ABC7-TV Heliport,Glendale,US,heliport
06CO,Jecan Airport,Branson,US,small_airport
06CT,Day Kimball Healthcare Heliport,Putnam,US,heliport
06FA,William P Gwinn Airport,Jupiter,US,small_airport
06FD,Grass Roots Airpark,Mascotte,US,small_airport
06FL,Morton Plant Hospital Heliport,Clearwater,US,heliport
06GA,Smith Heliport,Redan,US,heliport
06IA,Rich Field,Walford,US,small_airport
06ID,Larkin Airport,Kuna,US,small_airport
06IL,Humm Airport,Earlville,US,small_airport
06IS,Sinele Strip,Nauvoo,US,small_airport
06KS,Riverside Hospital Airlift Heliport,Wichita,US,heliport
06LA,Panther Helicopters Inc Heliport,Belle Chasse,US,heliport
06LS,Hood Container Heliport,St Francisville,US,heliport
06MA,The Barn Heliport,Pepperell,US,heliport
06MD,Johns Hopkins Bayview Hospital Heliport,Baltimore,US,heliport
06ME,Barker Heliport,Bethel,US,heliport
06MI,Henry Ford Jackson Hospital Heliport,Jackson,US,heliport
06MO,Noahs Ark Airport,Waldron,US,small_airport
06MT,Torgerson Airport,Ethridge,US,small_airport
K06N,Randall Airport,Middletown,US,small_airport
06NC,Tailwinds Airport,St. Pauls,US,small_airport
06ND,Fitterer's Strip,Glen Ullin,US,small_airport
06NE,St Marys Hospital Heliport,Nebraska City,US,heliport
06NH,Cole Farm Airport,Kensington,US,small_airport
06NV,Silver Creek Airport,Baker,US,small_airport
06NY,Murphy Field,Auburn,US,small_airport
06O1,Saint Elizabeth Medical Center Heliport,Youngstown,US,heliport
06OH,Hal Joy Airfield,Williamsfield,US,small_airport
06OI,Green Acres Airport,New Lebanon,US,small_airport
06OK,Albert Lodge Heliport,Grove,US,heliport
06OR,Hayden Mountain Airport,Forest Grove,US,small_airport
06PA,Freefall Oz Airport,Ceres,US,small_airport
06PN,Schiavoni Heliport,Harrisburg,US,heliport
06TA,Glaser Field,Buckholts,US,small_airport
06TE,Ainsworth Airport,Cleveland,US,small_airport
06TN,Hunter Airport,Columbia,US,small_airport
06TT,6 Mile Airpark,Fort McKavett,US,small_airport
06TX,Diamond N Ranch Airport,Hockley,US,small_airport
06VA,Mount Horeb Field,Grottoes,US,small_airport
06WA,N A Degerstrom Yard Heliport,Spokane,US,heliport
06WN,Western Airpark,Yelm,US,small_airport
06XA,J & W Windy Hill Airport,Van Alstyne,US,small_airport
06XS,Campbell Field,Aubrey,US,small_airport
07AA,Pan Lake Strip Airport,Willow,US,small_airport
07AL,Tac X Stagefield Army Heliport,Fort Rucker (Samson),US,heliport
07AN,Bro Majors Airfield,Trapper Creek,US,small_airport
07AR,Morrilton Airport,Morrilton,US,small_airport
07CL,Richvale Airport,Richvale,US,small_airport
07CO,Comanche Creek Airport,Kiowa,US,small_airport
07FA,Ocean Reef Club Airport,Key Largo,US,medium_airport
07GA,Alcovy Airport,Covington,US,small_airport
07GE,Pope Pate Field,Ocilla,US,small_airport
07IA,Hoskins Landing,Shambaugh,US,small_airport
07II,St Vincent Jennings Hospital Heliport,North Vernon,US,heliport
07IN,Gray Airport,Boggstown,US,small_airport
07KS,Heape Field,Augusta,US,small_airport
07KY,Blue Lick Airport,Louisville,US,small_airport
07LS,Louisiana State Police Troop F Heliport,Monroe,US,heliport
07MA,West Pond Heliport,Plymouth,US,heliport
07MD,Baugher's Orchard Airport,Westminster,US,small_airport
07ME,Westbrook Heliport,Westbrook,US,heliport
07MN,Dairyview Airport,Hadley,US,small_airport
07MO,Lake Sexton Airport,Warrensburg,US,small_airport
07MT,Glasgow Industrial Airport,Glasgow,US,small_airport
K07N,Bermudian Valley Airpark,Washington Township,US,small_airport
07NC,Hawks Meadow Airport,Waxhaw,US,small_airport
07NH,Diving Rock Seaplane Base,Washington,US,seaplane_base
07NJ,Hackensack UMC Palisades Heliport,North Bergen,US,heliport
07NV,Border Line Farm Airport,Baker,US,small_airport
07NY,Mmc Heliport,Monticello,US,heliport
07OK,Pleasant Valley Airport,Snyder,US,small_airport
07OR,Bruce's Airport,Milwaukie,US,small_airport
07PN,Folmar Airport,Grassflat,US,small_airport
07PR,Advanced Public Health of Isabela Heliport,Isabela,PR,heliport
07TA,Salaika Aviation Airport,Danbury,US,small_airport
07TS,Cross-Country Estates Airport,Hutto,US,small_airport
07TX,Pecks Heliport,Princeton,US,heliport
07UT,E Northrop Grumman Airport,Howell,US,small_airport
07VA,Alpha Hotel Airport,Clover,US,small_airport
07VT,Meadow STOLport,Jericho,US,small_airport
07WA,Multicare Deaconess Hospital Heliport,Spokane,US,heliport
07WY,Stallions Airport,Sheridan,US,small_airport
07XA,Luecke Heliport,Smithville,US,heliport
07XS,Allen Ponderosa Heliport,Crowley,US,heliport
08AK,Fisher Airport,Big Lake,US,small_airport
08AL,Little Lagoon Seaplane Base,Gulf Shores,US,seaplane_base
08AN,Base Camp Airstrip,Palmer,US,small_airport
08AZ,Mesa Police Heliport,Mesa,US,heliport
08CA,PG&E Placerville Service Center Heliport,Placerville,US,heliport
08CL,Kistler Ranch Airport,Jamestown,US,small_airport
08CN,Tulare Motor Sports #1 Heliport,Tulare,US,heliport
08CO,Terra Firma Airport,Rush,US,small_airport
08CT,Seavair's Landing Seaplane Base,Winsted,US,seaplane_base
08FA,Duda Airstrip,La Belle,US,small_airport
08FD,Sunniland Ranch Airport,Okeechobee,US,small_airport
08FL,J. H. Hendrie Farms Airport,Lake Placid,US,small_airport
08GA,Sapelo Island Airport,Darien,US,small_airport
08GE,Hyundai Motor Group Metaplant America Heliport,Ellabell,US,heliport
08ID,Symms Airport,Marsing,US,small_airport
08II,Parkview Lagrange Hospital Heliport,Lagrange,US,heliport
K02D,Winona Lake Seaplane Base,Winona Lake,US,seaplane_base
08IS,Hemmer RLA Restricted Landing Area,Du Quoin,US,small_airport
08KS,Alderson Airport,Bennington,US,small_airport
08KT,Deaconess Union County Hospital Heliport,Morganfield,US,heliport
08KY,Boss Airport,Burnside,US,small_airport
08LA,Air Oil Inc Nr 2 Heliport,Harahan,US,heliport
08LL,Sauer Airport,Dwight,US,small_airport
08LS,Aeleron Airport,Sunset,US,small_airport
08MA,Wormid Airport,Southborough,US,small_airport
08MD,UM Saint Joseph Medical Center Heliport,Towson,US,heliport
08ME,Lindbergh Airport,Avon,US,small_airport
08MI,Sparrow Hospital Heliport,Lansing,US,heliport
08MN,Christenson Point Seaplane Base,Chisholm/Hibbing,US,seaplane_base
08MO,Twin Oaks Airport,Jasper,US,small_airport
08MS,Midsouth Airpark,Coldwater,US,small_airport
08MT,Matovich Airport,Grass Range,US,small_airport
08NC,Whiteheart Farm Airport,Lewisville,US,small_airport
08ND,Brecht Strip,Golden Valley,US,small_airport
08NE,Laurel Municipal Airport,Laurel,US,small_airport
08NH,Memorial Hospital Heliport,North Conway,US,heliport
08NJ,St Barnabas Medical Center Heliport,Livingston,US,heliport
08NR,Bell Mountain Airport,Zirconia,US,small_airport
08NY,Md1 Airport,Middletown,US,small_airport
08OH,Kenley Airport,Hartford,US,small_airport
08OK,Parks Airport,Wilburton,US,small_airport
08OL,Broken B Airport,Hydro,US,small_airport
08OR,Saxon Sycan Airport,Summer Lake,US,small_airport
08PA,Pocono Raceway Heliport,Long Pond,US,heliport
08PN,Thomson Heliport,Lancaster,US,heliport
08SD,Douglas County Memorial Hospital Heliport,Armour,US,heliport
08TN,PTC Airport,Fayetteville,US,small_airport
08TT,LZ Tango Charlie Airport,Fredericksburg,US,small_airport
08TX,Cross Wind Airport,Weatherford,US,small_airport
K08U,Stevens-Crosby Airport,Elko,US,small_airport
08UT,Pinelodge Runway,La Sal,US,small_airport
08VA,Springwood Airstrip,Buchanan,US,small_airport
08XA,Knolle Ranch Airport,Snook,US,small_airport
08XS,Peterson Airport,Old Ocean,US,small_airport
09AA,Sheldon Chalet Heliport,Talkeetna,US,heliport
09AK,West Beaver Airport,Big Lake,US,small_airport
09AL,Greene County Hospital & Nursing Home Heliport,Eutaw,US,heliport
09AR,Magnolia Hospital Heliport,Magnolia,US,heliport
09AZ,Stronghold Airport,St David,US,small_airport
09CA,Mee Memorial Hospital Heliport,King City,US,heliport
09CL,Alta Sierra Airport,Grass Valley,US,small_airport
09CN,Tulare Motor Sports #2 Heliport,Tulare,US,heliport
09CO,Cottonwood Field,Rocky Ford,US,small_airport
09FA,Placid Lakes Airport,Lake Placid,US,small_airport
09FD,Cheryl-Lane Landings Airport,Bushnell,US,small_airport
09FL,Hard Rock Stadium West Heliport,Miami Gardens,US,heliport
