icao,name,municipality,iso_country,type
RKTE,Seongmu Airport,,KR,small_airport
RKTH,Pohang Airport (G-815/K-3),Pohang,KR,medium_airport
RKTI,Jungwon Air Base/Chungju Airport,Gimseang-ro,KR,medium_airport
RKTL,Uljin Airport,"Bongsan-ri, Uljin",KR,small_airport
RKTN,Daegu International Airport,Daegu,KR,large_airport
RKTP,Seosan Air Base,Seosan,KR,small_airport
RKTU,Cheongju International Airport/Cheongju Air Base (K-59/G-513),Cheongju,KR,large_airport
RKTW,Woong Cheon Heliport,Sohwang,KR,heliport
RKTY,Yecheon Airbase,Yecheon-ri,KR,medium_airport
RKUC,Jochiwon (G-505) Airfield,Jochiwon,KR,small_airport
RKUL,G 536 Airport,Songdang-ri,KR,small_airport
RKUY,Yongchon Airport (G-801),Yeongcheon,KR,heliport
PFMP,Rampart Airport,Rampart,US,small_airport
LRZN,Zanesti Airfield,Roznov,RO,small_airport
LRSP,Sânpetru-Brașov Aerodrome,Sânpetru,RO,small_airport
LRDV,Săulești Airfield,Deva,RO,small_airport
LRMS,Elie Carafoli Sport Airfield,Târgu Mureș,RO,small_airport
LRCB,Charlie Bravo Șiria Airfield,Șiria,RO,small_airport
LRCW,Balta Verde Airfield,Craiova,RO,small_airport
LRCX,Cobrex Heliport,Brașov,RO,heliport
LRMC,Năvodari Heliport,Năvodari,RO,heliport
LRCJ,Dezmir Airfield,Dezmir,RO,small_airport
LRDD,Dogaru Heliport,Fughiu,RO,heliport
LRIS,Iaşi Sud,,RO,small_airport
LRBH,Crystal Tower Bucharest Helipad,Bucharest,RO,heliport
LRHR,Remetea Airifeld,Remetea,RO,small_airport
LRBA,Grădiștea Airfield,Comana,RO,small_airport
LRSU,Emergency University Hospital Of Bucharest Heliport,,RO,heliport
LRPH,Ploiesti Aero Taxi Heliport,Ploiești,RO,heliport
LRMM,Aerodrom Baia Mare,Baia Mare,RO,small_airport
RO02,Lester Helo Pad Nº 2,,JP,heliport
RO04,White Beach Helipad CFAO,,JP,heliport
ROAH,Naha International Airport,Naha,JP,large_airport
